danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,album,disc_number,name,popularity,preview_url,track_number,uri,playlist_id,playlist,artist,artists_id,album_id
0.693,0.301,1,-11.145,1,0.949,0.939,0.0,0.123,0.596,90.606,5tTvGc18CCgyDrye65PAGP,306227,4,The Strangest Secret: How To Achieve Greater Success & Happiness,1,We Become What We Think About,31,https://p.scdn.co/mp3-preview/4abc3356b7ea5055928e3154c8d3fa943cc53aaf?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:5tTvGc18CCgyDrye65PAGP,5T54YmcS3PsSghWrqivfms,Speechiness,Earl Nightingale,4gyPmRdEnJ6GVibKuQekoF,0bg1C7BwYZq5vXFpJOhZFM
0.511,0.871,11,-8.299,1,0.924,0.789,0.0,0.689,0.344,103.325,3rLl99SGyzRtFKYzbUVB7d,197587,3,Touché,1,Deals,6,,3,spotify:track:3rLl99SGyzRtFKYzbUVB7d,5T54YmcS3PsSghWrqivfms,Speechiness,Ryan Stout,3rYH0eT8EkSbxGNkcaJEzW,4twDptGHkg7a9CHqd6E1DC
0.704,0.36,6,-16.6,1,0.901,0.849,0.0,0.727,0.542,110.244,1bZ6l7iUCGqnGKgBKQkAna,237387,5,The Presidential Years,1,Space Exploration Speech At Rice University,14,https://p.scdn.co/mp3-preview/95564e84378031f20e315b41b4254729c4638aa8?cid=774b29d4f13844c495f206cafdad9c86,7,spotify:track:1bZ6l7iUCGqnGKgBKQkAna,5T54YmcS3PsSghWrqivfms,Speechiness,John F. Kennedy,76NiAsCnFL6eHb04zphoH6,672C3Sr2j4esWpmFYyP43C
0.654,0.417,6,-20.251,1,0.926,0.968,2e-05,0.874,0.565,136.059,7dpZdOauEbKTGgO9bGqNqu,292326,5,O Peru da Festa (Ao Vivo),1,Morreu uma Bichinha (Ao Vivo),18,https://p.scdn.co/mp3-preview/6c2073301543b24c81bc3fb5546fcf19962eaf19?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:7dpZdOauEbKTGgO9bGqNqu,5T54YmcS3PsSghWrqivfms,Speechiness,Costinha,5h49asgiKDU05wAnUGLZhk,2uKgWeeRHMZo9fahMWZwRG
0.724,0.765,10,-11.695,0,0.76,0.942,0.0,0.687,0.551,113.689,35oG2mXpx36bJga5h7NJbE,223867,4,Terrorizing Telemarketers 4,1,"No, No",18,https://p.scdn.co/mp3-preview/d7f5faf77988405ffbba854f42d5cdf6f1b76797?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:35oG2mXpx36bJga5h7NJbE,5T54YmcS3PsSghWrqivfms,Speechiness,Jim Florentine,0dCcYHqcOo9RUTDP3U4zSu,792rLP82cmyUrI0WDFljBO
0.655,0.369,7,-19.232,0,0.947,0.784,0.0,0.0741,0.302,83.843,3gukwoH9qNORGwcIE3rRYV,1346067,3,五街道雲助7「臆病源兵衛」「芝浜」-「朝日名人会」ライヴシリーズ78,1,臆病源兵衛,15,https://p.scdn.co/mp3-preview/aef11a13b1d7a8c0126251cb773d6938d0f3386e?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:3gukwoH9qNORGwcIE3rRYV,5T54YmcS3PsSghWrqivfms,Speechiness,Kumosuke Gokaido,14RlHgE4FkzxXG9ijJudnc,6WeTojz22WQKT4zliE2Dms
0.684,0.311,0,-18.303,1,0.935,0.4,0.0,0.0883,0.567,113.85,1JqJXxM3rcWIlLPilL8Y4J,444278,4,Die Säulen der Erde (Ungekürzt),1,"Die Säulen der Erde, Kapitel 1",0,,1,spotify:track:1JqJXxM3rcWIlLPilL8Y4J,5T54YmcS3PsSghWrqivfms,Speechiness,Ken Follett,0I5CMdNszqP3qJTmhGxlsA AND 0RD9TMN3xp2N143QRiLUjx,2oM8cIQReXR3qsYpXlflyS
0.689,0.352,1,-13.373,1,0.944,0.667,0.0,0.372,0.545,85.469,4JEjvNlC9aOwHSytgtAR57,303653,4,I Saw Myself,1,Just a Little Girl,0,https://p.scdn.co/mp3-preview/774e977ebfb666254e2f8ab1ed1112a62653ca0b?cid=774b29d4f13844c495f206cafdad9c86,6,spotify:track:4JEjvNlC9aOwHSytgtAR57,5T54YmcS3PsSghWrqivfms,Speechiness,Rhonda Welsh,2VmMNTy51THbMXLby7LZbJ,7puSA103qjj9hCVBum6wGm
0.682,0.358,8,-15.943,1,0.945,0.989,5.6e-06,0.921,0.511,142.552,4T1nZgrsJngvZuRf1wRavk,407507,3,Comic Monologue By Liu Baorui Vol. 1,1,Battle In Yunnan,5,https://p.scdn.co/mp3-preview/d355c8c3668785d08fb382114a7056ed9eb2d37c?cid=774b29d4f13844c495f206cafdad9c86,3,spotify:track:4T1nZgrsJngvZuRf1wRavk,5T54YmcS3PsSghWrqivfms,Speechiness,Liu Baorui,5kB2GP8h3u6cQj1KQ62uul,4DnR1l4Xb4OxQyfeNWStrZ
0.539,0.298,3,-20.552,1,0.948,0.935,0.0,0.312,0.415,74.26,2J5NSM3ICNx2eW04OOm8Cr,1186012,3,"Yours Truly, Johnny Dollar - Old Time Radio Show, Vol. Two",1,1957-09-08 - Episode 553 - Charmona Matter,11,https://p.scdn.co/mp3-preview/2575234bfcd16d5c031ca1056bb30f7d8cf12286?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:2J5NSM3ICNx2eW04OOm8Cr,5T54YmcS3PsSghWrqivfms,Speechiness,Bob Bailey,6f3M8X0DDJPcdvwMLoyIas,5YX08ylCGiACb0bn9GpX0K
