acousticness,album,album_id,artist,artists_id,danceability,disc_number,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,name,playlist,popularity,preview_url,speechiness,tempo,time_signature,track_number,uri,valence
0.828,I Am Not the Hero of This Story,3wjdaTH8rm4R0DsGma6vRQ,Jackie Kashian,06FYrXQiix8vRPUzyOPrAb,0.632,1,237507,0.737,4mN6loCfMxQUWEr6zfzZg7,0.0,6,0.934,-6.038,1,Got My Hope,Speechiness,15,https://p.scdn.co/mp3-preview/2ee49fc270fd8841166e83e730b80f5af7626691?cid=774b29d4f13844c495f206cafdad9c86,0.896,88.304,3,3,spotify:track:4mN6loCfMxQUWEr6zfzZg7,0.767
0.83,Stark Raving Black,7pUwSo9vd9CMnGlmEkq3Kj,Lewis Black,6XloIaGQ9H1Nn37puBzQqm,0.59,1,206627,0.727,4QVW29iFW6EwdYLO2wxVHp,0.0,4,0.669,-6.196,1,Democrats & Republicans,Speechiness,40,https://p.scdn.co/mp3-preview/fc7cfd8dfcd646703f36fbdd4c3b2857fbb240d8?cid=774b29d4f13844c495f206cafdad9c86,0.941,82.699,3,2,spotify:track:4QVW29iFW6EwdYLO2wxVHp,0.124
0.987,"Cuentos Infantiles para Viajar, Dormir, Fiestas, Comuniones y Más",3BFGkmQ3trseGxUm8Oin8A,Los Cuenta Cuentos,54acaecjwyGb2wLtOoh65u,0.585,1,456420,0.19,0nABfl5JidU7Zaudwt4GNK,0.00267,11,0.18,-17.692,0,Los 3 Cerditos,Speechiness,21,https://p.scdn.co/mp3-preview/61d7a6e9fa44b18f09254f639f6f74e23d85f9ff?cid=774b29d4f13844c495f206cafdad9c86,0.754,86.554,4,1,spotify:track:0nABfl5JidU7Zaudwt4GNK,0.57
0.891,Live from Australia,6RB6MWoJDr5q54AtCXJxdC,Eddie Ifft,41wUNDeVoxTyqNpUlslu7t,0.617,1,236434,0.579,4s7HS5VOBhblDKSPift1q7,0.0,9,0.725,-9.413,1,Crack A Fat And Get Fucked,Speechiness,6,https://p.scdn.co/mp3-preview/a95dfe079388563336e2147ebbc9eb17f1f8c805?cid=774b29d4f13844c495f206cafdad9c86,0.941,101.294,4,2,spotify:track:4s7HS5VOBhblDKSPift1q7,0.453
0.968,X Minus One - 50 Science Fiction Golden Age Vintage Radio Episodes,1qLqI0dV3pBrVJxkM0OZiK,X Minus One,5n4zL9K6NV9tMH4aafGflQ,0.621,1,1332481,0.389,1ou8JKQAmaJzPSxWm4NweT,0.0,5,0.67,-16.501,0,The Seventh Victim,Speechiness,8,https://p.scdn.co/mp3-preview/1c9bfb4d9ed569476b3ecf10c42b3c76a4c371be?cid=774b29d4f13844c495f206cafdad9c86,0.935,134.977,3,1,spotify:track:1ou8JKQAmaJzPSxWm4NweT,0.454
0.557,Literaturklassiker - Die bekanntesten Gedichte,6wg0gMtIJYbtg10vRMl96U,Johann Wolfgang von Goethe,7wQj9SdON7gAR6M2VjpBrw,0.725,1,219109,0.436,26Ko7pSCJ1lV5NOtIhsocy,0.0,2,0.558,-12.894,1,Der Zauberlehrling,Speechiness,16,https://p.scdn.co/mp3-preview/e4227ff916b72c6b61ec356d9120da0701140bcc?cid=774b29d4f13844c495f206cafdad9c86,0.924,122.435,5,4,spotify:track:26Ko7pSCJ1lV5NOtIhsocy,0.413
0.0425,Learn in Your Car: Italian Level 1,5ZWHCKsePFPX7O4Vd4EW4h,Henry N. Raymond,4TmBZPk7UCEt5S21NFwule,0.682,1,244987,0.00668,3RwKKuWe2H29pFI77s9jMV,1.13e-05,7,0.0873,-17.174,0,Lesson 1: Basics,Speechiness,23,https://p.scdn.co/mp3-preview/42cf6ac22c025f588b26eee861a89ea9f5ba14b7?cid=774b29d4f13844c495f206cafdad9c86,0.86,129.195,3,2,spotify:track:3RwKKuWe2H29pFI77s9jMV,0.397
0.07,Gateways to Serenity,2fp5bbriXXq4tfS18BeRls,The Honest Guys,6n47s4smWR5T6mZnvHWv7V,0.311,1,525959,0.55,7cKutCuFbmmRz8HZNNo7LB,0.0371,9,0.117,-25.458,0,The Rain Temple,Speechiness,21,https://p.scdn.co/mp3-preview/2c91723882b6b81d7e5e06638a85f1f178a2a91c?cid=774b29d4f13844c495f206cafdad9c86,0.834,83.528,4,3,spotify:track:7cKutCuFbmmRz8HZNNo7LB,0.0668
0.843,Mesék a 77 magyar népmeséből,5hCfwUN6TzYH1HVavXjvlH,Sándor Lukács,6LLYya8pzsAx21U3U8yhqN,0.624,1,4336946,0.19,4aRZPXNinhJ1mHU6H8HDmU,0.0,0,0.221,-19.578,1,"Fanyűvő, Vasgyúró, Hegyhengergető",Speechiness,5,https://p.scdn.co/mp3-preview/a00aaa8d6df0e5e874d7ed6141a16fa4476ee3d6?cid=774b29d4f13844c495f206cafdad9c86,0.946,81.534,3,7,spotify:track:4aRZPXNinhJ1mHU6H8HDmU,0.432
0.929,Dr. Thomas,6bh8t9lJ1z1KIIixnpCrUR,Eric Thomas,5URFLvsIMbJIqmQL36FmvW,0.6,1,306432,0.768,0HBYptBUJX7NBm82ogaw1y,0.0,7,0.435,-10.236,0,Beast Mode,Speechiness,39,https://p.scdn.co/mp3-preview/059fbfbf5230bb7a8f5aa3fac9f641b5e9234826?cid=774b29d4f13844c495f206cafdad9c86,0.946,86.536,3,6,spotify:track:0HBYptBUJX7NBm82ogaw1y,0.43
