danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,disc_number,name,popularity,preview_url,track_number,uri,playlist,artists_id,album_id
0.707,0.826,6,-9.996,0,0.067,0.00183,0.894,0.661,0.264,124.006,0TItRkLPSTZT1EDtljR5hV,411669,4,1,Hellion,17,https://p.scdn.co/mp3-preview/3947b1623ab4ee733b7550a3695da4282c3d7ef9?cid=774b29d4f13844c495f206cafdad9c86,12,spotify:track:0TItRkLPSTZT1EDtljR5hV,dataset,6ofdjjT2rgq6wBJ82ipNtA,6fnEfAgnc4jJtCFnXJasII
0.552,0.962,7,-7.486,1,0.0476,0.000641,0.58,0.576,0.442,122.003,6caxyLDIKxYn8KUCnrKsgC,372355,4,1,Cuori Strapazzati,9,https://p.scdn.co/mp3-preview/0008616bc15991a8c66f5de5be31a68d8cbe3acc?cid=774b29d4f13844c495f206cafdad9c86,18,spotify:track:6caxyLDIKxYn8KUCnrKsgC,dataset,2VCxvHgk5rfMNf27Eraf68,6fnEfAgnc4jJtCFnXJasII
0.679,0.34,0,-13.441,1,0.03,0.398,0.945,0.0853,0.449,107.986,5B8cFNKxFAkxr4JGeJZITb,309040,4,1,Before I Let You Go,14,https://p.scdn.co/mp3-preview/b05c568fd4b44d57ec6acbb4c9b9ddfc4e24ae4e?cid=774b29d4f13844c495f206cafdad9c86,4,spotify:track:5B8cFNKxFAkxr4JGeJZITb,dataset,6rr6POhpIL25CJFS3o3Dym,6fnEfAgnc4jJtCFnXJasII
0.492,0.939,7,-4.667,1,0.0314,0.0031,3.23e-05,0.109,0.893,160.173,21Ay8mJRYQuOMZp7qyQXl6,207520,4,1,50 Special,61,https://p.scdn.co/mp3-preview/7f4756a35c6b037afc70e5d8beac484018217c41?cid=774b29d4f13844c495f206cafdad9c86,3,spotify:track:21Ay8mJRYQuOMZp7qyQXl6,dataset,4ZbsxiS90Pj1gLeDv3A9mN,7sXufweikTP0DcDSBGwpoD
0.518,0.527,9,-9.723,0,0.0399,0.233,0.0,0.14,0.683,80.983,4xq1trF0ztWPjtwlYkqAEw,176240,4,1,Dieci ragazze,50,https://p.scdn.co/mp3-preview/bfd786b26ed4f88362c09c1468a64b4a19b82c71?cid=774b29d4f13844c495f206cafdad9c86,7,spotify:track:4xq1trF0ztWPjtwlYkqAEw,dataset,2caOYPej26UoQOyFnzXW3G,6C91Sp5eJ1LPEFuSoEf5vw
0.803,0.691,1,-7.713,1,0.154,0.0238,0.000254,0.111,0.179,140.072,47FAjWMQY5StdXLA5TTAQQ,133773,4,1,I Hung Myself For A Persona,54,https://p.scdn.co/mp3-preview/c028c7214f071314972315051581ea12307136d9?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:47FAjWMQY5StdXLA5TTAQQ,dataset,1VPmR4DJC1PlOtd0IADAO0,26qaxSxlPcfjVDYKNxjLQn
0.598,0.875,7,-5.66,1,0.31,0.0491,0.00114,0.342,0.616,168.871,2snJVRH8IJToJRkfSI5Boq,215969,4,1,Airwalkin',37,https://p.scdn.co/mp3-preview/c6232c9688fa613c24c0c5f8f10a88c0e63be2ad?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:2snJVRH8IJToJRkfSI5Boq,dataset,4Oov8BULUOBiX6UVpP04JW,7Ct27tNvJQO4HSqDHi7QMQ
0.764,0.466,10,-9.786,0,0.0902,0.42,0.914,0.0931,0.221,94.005,6QBxQiVY4ITJtwV7uGSDqw,197560,4,1,Banda,19,https://p.scdn.co/mp3-preview/c7239af27625dd4a7c241db79b5ab028234abe12?cid=774b29d4f13844c495f206cafdad9c86,6,spotify:track:6QBxQiVY4ITJtwV7uGSDqw,dataset,"5Uy8Skuxzxf38jMDTndKIU,7rs7LuOnKkLjxj3Lr8J90k",6QW0AjRzQmHoUxwT570bJX
0.751,0.371,6,-10.562,0,0.0538,0.203,0.869,0.15,0.0549,126.017,7eNSgICl11uh6hzLfDXV6d,493760,4,1,Flores no Mar,24,https://p.scdn.co/mp3-preview/f84a82b9853476e7e5f5b207a224354a0ca6d511?cid=774b29d4f13844c495f206cafdad9c86,3,spotify:track:7eNSgICl11uh6hzLfDXV6d,dataset,"5Uy8Skuxzxf38jMDTndKIU,1C2Gz0VQuVWtaLWd54ujI5",6QW0AjRzQmHoUxwT570bJX
0.365,0.69,11,-9.641,0,0.0661,0.0145,0.534,0.222,0.161,172.136,5UDWg4WCYA3R5lydLVz1FO,364647,4,1,Hologram,35,https://p.scdn.co/mp3-preview/94108bcf2e165110568eda3cc6159491c942b9c0?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:5UDWg4WCYA3R5lydLVz1FO,dataset,7EFB09NxZrMi9pGlOnuBpd,5F7t2oVAxnazEU21nbUZGc
