acousticness,album,album_id,artist,artists_id,danceability,disc_number,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,name,playlist,popularity,preview_url,speechiness,tempo,time_signature,track_number,uri,valence
0.152,Good News,6qXln4mRFTUeso8dN2Np9e,Classified,7t6GsqGAwrj1kwYbvNX0hN AND 5nm8xNDJvPX3ncbw3TSaXs,0.655,1,206911,0.737,7qiDu64JtOxAKHfSifshUS,0.0,7,0.352,-4.718,0,Good News,The Sound of Everything,46,https://p.scdn.co/mp3-preview/d082575233ddeb8f5e3f6669eaec419e93bb1359?cid=774b29d4f13844c495f206cafdad9c86,0.14,86.049,4,1,spotify:track:7qiDu64JtOxAKHfSifshUS,0.54
0.368,Cageless,38eKV184962kccdfTY2gTV,Hedley,6Shas1ACrMl25XHgTrzxeo,0.355,1,223787,0.728,5Kelvlf6aU6is8muBjaZ4S,0.0,0,0.0548,-4.395,1,Better Days,The Sound of Everything,54,https://p.scdn.co/mp3-preview/5b0d02800b87a4279580883784dd5326d82ed444?cid=774b29d4f13844c495f206cafdad9c86,0.133,93.203,4,1,spotify:track:5Kelvlf6aU6is8muBjaZ4S,0.646
0.000233,Bring Me Down,2LOotiprpFfruMZ4u1DoNE,We Were Sharks,5VJPxda81cx3ZGltjWM36I,0.424,1,147005,0.985,4v1NfioAXdYNXLoD7QlzH1,0.0262,4,0.176,-3.652,1,Bring Me Down,The Sound of Everything,29,https://p.scdn.co/mp3-preview/bff782f407e4d9accd58304338d7722a64dd2a18?cid=774b29d4f13844c495f206cafdad9c86,0.113,180.068,3,1,spotify:track:4v1NfioAXdYNXLoD7QlzH1,0.564
4.68e-05,Crisis,1eAMmJv65w0W2w50HDmTEw,Alexisonfire,53RsXctnNmj9oKXvcbvzI2,0.192,1,243467,0.757,6hKnIY2Ssrmqw2TYXW0K5e,0.00133,9,0.123,-5.253,1,This Could Be Anywhere In The World,The Sound of Everything,52,https://p.scdn.co/mp3-preview/dd2f95ee150c6e253cc0b5a2f92beda78c4d0706?cid=774b29d4f13844c495f206cafdad9c86,0.0844,83.105,5,2,spotify:track:6hKnIY2Ssrmqw2TYXW0K5e,0.294
0.00334,Cassette,0ryvJr9SKqe83vNcBcXPU5,Preoccupations,2bs3QE2ZMBjmb0QTqAjCj3,0.631,1,180093,0.797,58ITGKThH6gQ4qfkir8kKb,0.298,5,0.109,-8.107,1,Unconscious Melody,The Sound of Everything,44,https://p.scdn.co/mp3-preview/f9550b7b733d4e6743f4b96cbdf25796dedc36e8?cid=774b29d4f13844c495f206cafdad9c86,0.0714,115.251,4,2,spotify:track:58ITGKThH6gQ4qfkir8kKb,0.844
0.967,He Has Left Us Alone But Shafts Of Light Sometimes Grace The Corner Of Our Rooms,5HiOC51yLvjjtOudM8LKPy,Silver Mt. Zion,0bRpSBtMd3stO4J6TWclMb,0.115,1,442293,0.303,3cEVhx8rkM0FlETJFFpxoF,0.852,11,0.0611,-13.693,0,13 Angels Standing Guard 'Round The Side Of Your Bed,The Sound of Everything,49,https://p.scdn.co/mp3-preview/9018b81351bff6cff23fb6b4a0029da11be4b9cd?cid=774b29d4f13844c495f206cafdad9c86,0.0403,79.193,3,5,spotify:track:3cEVhx8rkM0FlETJFFpxoF,0.039
0.000999,The Plastic Cloud,2KXbEjtRjgvjlXZienhqeC,The Plastic Cloud,0CR644qIiFso0VOPtB4aRY,0.448,1,216613,0.382,4L7FagmYU8m9iGZiXte2uH,0.0,1,0.0634,-12.885,1,Epistle To Paradise,The Sound of Everything,0,https://p.scdn.co/mp3-preview/eb2025fe406c3273d29bf5ee11b1dd71f841afa5?cid=774b29d4f13844c495f206cafdad9c86,0.0327,118.67,4,1,spotify:track:4L7FagmYU8m9iGZiXte2uH,0.482
0.143,IV,1iRr9SxJtbenO0gygNltV7,Black Mountain,00sAr10UTV1JZtHqxsLVn4,0.276,1,544070,0.652,1iqd4ySTUyrSPCJDvRu4AR,0.943,11,0.0993,-9.918,0,Space to Bakersfield,The Sound of Everything,44,https://p.scdn.co/mp3-preview/f772f5e1177ed187c053e2ea75f2b2f885cfdd38?cid=774b29d4f13844c495f206cafdad9c86,0.0373,74.448,4,10,spotify:track:1iqd4ySTUyrSPCJDvRu4AR,0.119
0.000914,Destroy To Create,0pWHvqmpQ3thuQb9Bif5AB,The Flatliners,6bx5jeXP6LSRVY29adUFdB,0.607,1,149240,0.98,5GPrVZItFl0cxKNeRPDcPp,4.44e-06,10,0.817,-2.505,0,Fred's Got Slacks,The Sound of Everything,46,https://p.scdn.co/mp3-preview/e76b952705f69c51541f62ab750f3d9102aabd34?cid=774b29d4f13844c495f206cafdad9c86,0.0643,117.112,4,2,spotify:track:5GPrVZItFl0cxKNeRPDcPp,0.391
0.000883,House Of Ill Fame (Bonus Live Cut Edition),0mq5DrQk05zTR8qU4zIuTH,The Trews,2mCd5QO8EUB5rmbGUbCrTJ,0.532,1,183853,0.803,6TAIjNdGCB4rJ8eS90Vd8t,0.0,4,0.696,-6.186,1,Not Ready To Go,The Sound of Everything,43,https://p.scdn.co/mp3-preview/7bccf92a62ed2e526d05e3fa510efb65869e5626?cid=774b29d4f13844c495f206cafdad9c86,0.0347,125.776,4,2,spotify:track:6TAIjNdGCB4rJ8eS90Vd8t,0.697
