acousticness,album_id,artists_id,danceability,disc_number,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,name,playlist,popularity,speechiness,tempo,time_signature,track_number,valence
0.41,2AijQUrTqAETyjMaKxu4Xh,17mwzDXKn4ra9cuxXaptwp,0.391,1,221628,0.445,4FrXHeNPrzbulrn5NSNwzF,0.00395,5,0.109,-13.227,1,Please Don't Leave The Table,000 - HOT // WAITING ROOM,26,0.0685,195.449,4,7,0.168
0.0729,1qMDN9zRQreK81cJ9G1hed,5J81VungUjSVHxlPpTI9KG,0.72,1,219646,0.677,6JZv5f9ufV0Uz7VbGpd2DL,0.000103,11,0.397,-9.202,0,Skiptracing,000 - HOT // WAITING ROOM,60,0.0245,109.401,4,1,0.822
0.283,66shgm2p4wTTg7bzcbh1DU,3cvmzdKOmgBn7PrHkvnH0e,0.332,1,277705,0.826,5KSLt3mQ9SspAX4pEsqt0r,0.566,11,0.166,-7.139,0,Alligator,000 - HOT // WAITING ROOM,5,0.0612,159.141,4,2,0.194
0.000878,6q1ZuWCnYTQb7KhXHZo947,"2Z7UcsdweVlRbAk5wH5fsf,1ctkBmvz80MGyi72Ix055S,3M0H4efyA5YcijrKlaKbYn",0.282,1,236253,0.566,1W0OCrMsRP1SLTEdw3JwEz,0.0,11,0.38,-6.924,0,"Sweet Dreams, TN",000 - HOT // WAITING ROOM,60,0.0291,112.362,3,7,0.477
0.00129,4uIDigk79DeZEYV6Z5Yf4s,6FQqZYVfTNQ1pCqfkwVFEa,0.495,1,261173,0.849,1fn1RZO7oiEmLm1MIGLb27,0.79,2,0.146,-6.761,0,Snake Oil,000 - HOT // WAITING ROOM,47,0.0358,141.994,4,6,0.541
0.0774,6iOCv7oGL5sGi2aVnRz2BI,"1uiEZYehlNivdK3iQyAbye,2rspptKP0lPBdlJJAJHqht,0Y4inQK6OespitzD6ijMwb",0.729,1,300991,0.571,5TgZ7lOUugOdabBcD9a6ud,0.213,11,0.0994,-9.188,0,Nightrider,000 - HOT // WAITING ROOM,59,0.0869,81.486,4,3,0.582
0.0125,74ToJQAshripChdWQAR2aw,58mGUqhiYRkeTWpHunYgHH,0.725,1,500773,0.787,1gaWSRrv0aOu0tkYb5iCIt,0.842,7,0.0883,-9.152,0,Cerise,000 - HOT // WAITING ROOM,5,0.0438,127.018,4,1,0.154
0.00425,3UuY5uwBhqoqnZFwlEApq3,1eDJci45Pb42HLWeYP5SSF,0.85,1,721343,0.563,54AhyCN3G246MJ4LOSpFWm,0.867,6,0.122,-11.986,1,Market (Remastered),000 - HOT // WAITING ROOM,12,0.268,119.966,4,1,0.595
0.000412,4niHBM7Ge5hxwWTNFqIXZt,4TlzX7s6kuZDtiBpsopcBf,0.488,1,353253,0.627,7IwkmJ4L09qr5ltzjZ8h8e,0.451,8,0.155,-8.991,0,Escape To Nowhere - mixed,000 - HOT // WAITING ROOM,15,0.0464,119.645,4,20,0.289
0.011,51ujSxk5Dp6rw1q5VOBqpv,63vaeIIBKIe9zT91EORVbr,0.785,1,243216,0.55,2gVD16pngRtQdSbAdaAgFI,0.458,4,0.0922,-5.748,0,Heaven's Only Wishful,000 - HOT // WAITING ROOM,56,0.0249,99.981,4,1,0.707
0.0111,4TGvBVWFdYgARvdajEfAkU,6Jrxnp0JgqmeUX1veU591p,0.872,1,214707,0.947,3tOnrWllROVJQ1Qg4M1QOs,0.326,10,0.0589,-4.195,1,Unstoppable,000 - HOT // WAITING ROOM,35,0.0994,150.043,4,9,0.923
0.0491,7Ct27tNvJQO4HSqDHi7QMQ,4Oov8BULUOBiX6UVpP04JW,0.598,1,215969,0.875,2snJVRH8IJToJRkfSI5Boq,0.00114,7,0.342,-5.66,1,Airwalkin',000 - HOT // WAITING ROOM,37,0.31,168.871,4,2,0.616
0.0113,3e3Y0xzqF6CGHFeGolUVsE,3ifxHfYz2pqHku0bwx8H5J,0.486,1,277717,0.926,0JWL4WXYrDdg2HgN5zz6bj,0.708,2,0.113,-8.407,1,Between The Lines,000 - HOT // WAITING ROOM,35,0.0435,139.999,4,3,0.0379
0.18,4p7OubIrnoRbhi3YUbN5Ib,4DMSJzGjw2SMkKAT5EEE5u,0.529,1,188971,0.644,2UsREIjT72ZEZnhdvpyg7R,0.188,5,0.493,-7.383,1,Give It to Me,000 - HOT // WAITING ROOM,58,0.069,57.107,4,10,0.0682
0.394,2iY43P3tTDGaGymbfQMfk0,"5zwqIFKB9qY4hXczzY6IJm,2FMUJIX6cW1Pby7my21xBO",0.66,1,325799,0.675,3XDhynPkHr3wPz3SHcGWUx,0.885,6,0.111,-11.675,0,Herbal,000 - HOT // WAITING ROOM,3,0.231,178.07,4,1,0.476
0.118,5eqcF7pWzHgWpGdEmHgeSN,2x9SpqnPi8rlE9pjHBwmSC,0.609,1,156480,0.802,1w3IeWPxVHuw0gyXcGV2pN,0.000131,9,0.0904,-9.501,0,Sugar on My Tongue - 2005 Remaster,000 - HOT // WAITING ROOM,53,0.0538,127.672,4,16,0.926
0.000886,1KwlNMH2XJDpDvZERHHCbt,5aj3LEYRbuaabjjHkj5oE1,0.624,1,306333,0.583,2grq3Pzi5O2VRYJKRSuQHT,0.633,7,0.0862,-9.046,1,Your Loft My Acid - Fearless Transhouse Mix Long,000 - HOT // WAITING ROOM,7,0.031,107.979,4,1,0.218
0.00111,723xb2clGNrS2Sobt0BNyA,0yXLm86D4JkD0Z8aWY564D,0.74,1,408446,0.671,66klyEVI63jTTqDd8wJx5s,0.799,8,0.277,-9.343,1,Blind Trust - Original Mix,000 - HOT // WAITING ROOM,46,0.0451,111.989,4,4,0.264
0.0361,7JggdVIipgSShK1uk7N1hP,"4O71i7ke5iIBX6RNSFoZbS,1oXiuCd5F0DcnmXH5KaM6N",0.893,1,484547,0.654,0VQtCWS2rRoq0bqTVFZOt6,0.586,11,0.128,-12.061,0,... Even Though You're With Another Girl - Kollektiv Turmstrasse Remix,000 - HOT // WAITING ROOM,15,0.0721,125.018,4,20,0.718
0.102,7gP4vkln7Qmbycgx8WwTzL,"65dGLGjkw3UbddUg2GKQoZ,6FD0unjzGQhX3b6eMccMJe",0.563,1,165983,0.684,48mJsuV6IsDVrjkhqR2mHG,0.00065,2,0.283,-7.413,0,Sour Soul,000 - HOT // WAITING ROOM,45,0.253,83.319,4,2,0.501
0.107,2w9XCw32c99uNOGdzHulgn,"5Uy8Skuxzxf38jMDTndKIU,5hxj206wTTGI5H6ydwCZ8D,3NF6UnD0jD8UYkhRVmpf9O",0.577,1,198000,0.774,0pLvZ9u9UIe5ZkDkANOuXu,0.902,9,0.155,-7.289,0,Test Your Dreams - Opiate Remix,000 - HOT // WAITING ROOM,1,0.0353,92.991,4,1,0.55
0.598,5gggblV8wRkava2iZLLpMk,"28j8lBWDdDSHSSt5oPlsX2,5INjqkS1o8h1imAzPqGZBb,2n6DGYH09XJFq4TqfeQ2G3",0.724,1,432000,0.644,2wXD1WAXq2Z9F1bvx00K06,0.886,10,0.121,-12.264,0,My Life - Brian Cid Remix,000 - HOT // WAITING ROOM,20,0.0374,120.014,4,3,0.096
0.0256,7oFHZxaSE9WzWCi592zMhC,2hThsqaVEAWhWPBXnaOfB9,0.61,1,279788,0.454,369ZHVk9UlOxmRcjs6XeUr,0.515,4,0.103,-8.955,1,Organs,000 - HOT // WAITING ROOM,33,0.0488,90.027,4,3,0.0886
