acousticness,album_id,artists_id,danceability,disc_number,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,name,playlist,popularity,preview_url,speechiness,tempo,time_signature,track_number,uri,valence
0.877,3IgsTSki1SgUmiD9xyxTI1,7ceUfdWq2t5nbatS6ollHh,0.58,1,154827,0.44,7jYo1uYSMzQS0nlN6bRAKM,0.0014,7,0.0797,-8.283,1,Put Your Head on My Shoulder,The Sound of Everything,28,https://p.scdn.co/mp3-preview/0ddd18d0c3ffab89bf0592f6e2fd321ac8e87591?cid=774b29d4f13844c495f206cafdad9c86,0.0305,115.59,3,2,spotify:track:7jYo1uYSMzQS0nlN6bRAKM,0.574
0.336,1G21a2lG7qSuYWpK43QFVY,16SN1YGd9UPP7kJWjgQQhC,0.692,1,134187,0.533,38REAnPExO29JkHn1xJ7TR,4e-06,7,0.0946,-7.994,1,Dios Tu Nombre Exaltar,The Sound of Everything,30,https://p.scdn.co/mp3-preview/c53b4f695aac4d926cdad22c2f84d70a0b69ce59?cid=774b29d4f13844c495f206cafdad9c86,0.0291,95.094,4,2,spotify:track:38REAnPExO29JkHn1xJ7TR,0.43
0.0152,36sVan2WNXY3kpx09VuV7M,7yENsqwl7tKB64kybFln1p,0.511,1,291576,0.901,7778UZXfaLy8f18KpKS8pP,0.0141,10,0.0477,-3.868,0,Gole Nazam,The Sound of Everything,35,https://p.scdn.co/mp3-preview/5251d1e50ec811356aeb2375702987153866f3e8?cid=774b29d4f13844c495f206cafdad9c86,0.0694,119.955,4,1,spotify:track:7778UZXfaLy8f18KpKS8pP,0.7
0.924,4RVxiQLQHNV1C5zDF9T7lo,7CLiUunU7RG85NX7bhjvw7,0.226,1,226586,0.603,74Z5M88wMcswBHSsbl1o36,0.000131,9,0.186,-8.683,0,Sultan Qalbam Tu Asti,The Sound of Everything,32,https://p.scdn.co/mp3-preview/07e118de6bea45322e51a483bf5a5261b050342e?cid=774b29d4f13844c495f206cafdad9c86,0.0337,159.37,3,2,spotify:track:74Z5M88wMcswBHSsbl1o36,0.706
0.00419,4lXmMKtz6h5efr6Jg1VRl9,5jh8Bu4TjUGzixND0q0mGL,0.68,1,385174,0.547,17KUM0xYMh0iq5C1TQN3xL,0.891,7,0.062,-12.653,1,Endongo,The Sound of Everything,30,https://p.scdn.co/mp3-preview/b7de39bb6955652d8c7cd92d38fa12dae14e14d9?cid=774b29d4f13844c495f206cafdad9c86,0.0568,120.036,4,3,spotify:track:17KUM0xYMh0iq5C1TQN3xL,0.578
0.965,56le7IdNe67vArpXDjqUOj,5blZUSGq0z7HhuSldSXV3a,0.13,1,330000,0.17,630GnYjh9pMw7iO9KrCQIG,0.942,0,0.0733,-25.277,1,Well,The Sound of Everything,28,https://p.scdn.co/mp3-preview/a1859fa4ba2b171fd7529815af99359c7abe6a01?cid=774b29d4f13844c495f206cafdad9c86,0.0477,73.15,1,2,spotify:track:630GnYjh9pMw7iO9KrCQIG,0.0472
0.0746,043LQAcfoVZts1SeqvIYR4,"7LYWtUyWFb2GIE5sjigMvX,5UZlvWGHq0ALdC2dj7Ha67",0.531,1,343172,0.649,3gUFmAZZoGrtIDeJJidfq4,0.0,1,0.107,-7.282,1,Tant que tu donnes un chant,The Sound of Everything,35,https://p.scdn.co/mp3-preview/fb04a89e85c6f39b9d5aa02751f3d6af398b30c5?cid=774b29d4f13844c495f206cafdad9c86,0.0386,124.04,4,1,spotify:track:3gUFmAZZoGrtIDeJJidfq4,0.344
0.00148,58uPZzxmxgKdKHrROmREPl,1DlDAdhiP61fsUQUT9goGG,0.308,1,240320,0.574,6iNZYxuUBip7FpeM1m66l7,0.0,8,0.0857,-9.332,1,Too Deep,The Sound of Everything,8,https://p.scdn.co/mp3-preview/5cb3baf3057bee3b54b074745ad15270595e0bec?cid=774b29d4f13844c495f206cafdad9c86,0.0335,65.06,4,1,spotify:track:6iNZYxuUBip7FpeM1m66l7,0.57
0.824,6IEnjmrtA3CVwhVurzbJiM,67pcdq3AqjAw3jNWD9QRed,0.564,1,340493,0.687,2bX0AA7ScWgAk9Loi4lXqP,0.0683,2,0.0686,-13.741,1,Djole,The Sound of Everything,23,https://p.scdn.co/mp3-preview/0b1cec7cb79fea4e6243843e49b9fbd93e67dd6e?cid=774b29d4f13844c495f206cafdad9c86,0.0423,142.407,4,6,spotify:track:2bX0AA7ScWgAk9Loi4lXqP,0.768
0.274,3uPdbl5It4snYAz6JHDTIX,3RhKSqhIE9U22yFEobw68e,0.788,1,233027,0.588,1K3LOinFiIOTmFNmX3XJ3Y,3.03e-06,6,0.402,-8.178,0,Africain à Paris,The Sound of Everything,52,https://p.scdn.co/mp3-preview/fb5e4d8aff1159875ff62427ca53d7ee875bf2f3?cid=774b29d4f13844c495f206cafdad9c86,0.0441,96.064,4,4,spotify:track:1K3LOinFiIOTmFNmX3XJ3Y,0.865
0.799,5pmX2N8DT69U8hCEfBERp2,256RIQ6zTG7LTrRlAxB5xw,0.636,1,296680,0.363,4shIYnY3P1FAJZxldDI9JD,3.95e-06,9,0.111,-8.902,1,Tot Die Son Uitkom,The Sound of Everything,28,https://p.scdn.co/mp3-preview/c436b1d6a6c201644dd866b100485c78730d8ec2?cid=774b29d4f13844c495f206cafdad9c86,0.0283,120.079,4,6,spotify:track:4shIYnY3P1FAJZxldDI9JD,0.14
0.994,6CynnUMIeho0HuHG8EFDKE,"0KkJoXozXmbRdmpy7zCmYA,7wJT2nMGzUmQQLSIHbDaXU",0.46,1,293520,0.00618,1XJMRdFSgkrmw2cXLJOD0b,0.89,6,0.0896,-28.121,1,"3 Visions: No. 2, Summerland",The Sound of Everything,50,https://p.scdn.co/mp3-preview/13383b7efe32366e18f618af89f666ee56670b44?cid=774b29d4f13844c495f206cafdad9c86,0.0481,67.12,3,2,spotify:track:1XJMRdFSgkrmw2cXLJOD0b,0.086
0.413,1qqRbHIhvaIoL3qOmTPFYT,"05RbDB13aoIZwFzHqe8ehO,0vevzNDJEuDySBGxIPWcHZ",0.59,1,230747,0.689,2wTs4WpSbm2EIFMjZA1T3L,0.0,2,0.0856,-7.277,1,Die Sluise Van Die Hemel,The Sound of Everything,41,https://p.scdn.co/mp3-preview/1f7e7e2c47f4c85755409f5e75355e7946730bdf?cid=774b29d4f13844c495f206cafdad9c86,0.0306,155.909,4,11,spotify:track:2wTs4WpSbm2EIFMjZA1T3L,0.61
0.535,2mowdlZvetEcYyXGosX6EM,7pLI3wDSdqIrT4t5R4lHg7,0.398,1,222267,0.546,1U2ItjDIfCnpyvPseZ4oPh,0.000293,7,0.108,-11.104,1,Sproeitjies,The Sound of Everything,13,https://p.scdn.co/mp3-preview/edd2085cbe576dd36d9c6070215693a4af32964e?cid=774b29d4f13844c495f206cafdad9c86,0.0403,124.17,4,10,spotify:track:1U2ItjDIfCnpyvPseZ4oPh,0.366
0.000289,4dlFovybbCjnDwXO0zjIvD,38SqGSrjDDkrsjicMn5vLl,0.512,1,193987,0.973,01nx155UluDtGiSvSg2hLm,1.36e-06,2,0.694,-5.818,1,Loof Hom Met Die Tromme / Die Liefde Van Jesus,The Sound of Everything,15,https://p.scdn.co/mp3-preview/20da2a6d9894dc3fd06d52a5ecb3b18044349176?cid=774b29d4f13844c495f206cafdad9c86,0.0361,122.011,4,3,spotify:track:01nx155UluDtGiSvSg2hLm,0.528
0.303,6fG2eFCgUmytQWL6umtsCh,"4ovtyvs7j1jSmwhkBGHqSr,5yOvAmpIR7hVxiS6Ls5DPO",0.93,1,171765,0.535,5DS9LiyEdw2zY8bM6kjjgM,0.0201,7,0.146,-8.755,0,Infinity (feat. Omah Lay),The Sound of Everything,64,https://p.scdn.co/mp3-preview/bd875491c20ecbd52745df82c8567224f3c1a2b7?cid=774b29d4f13844c495f206cafdad9c86,0.111,102.017,4,3,spotify:track:5DS9LiyEdw2zY8bM6kjjgM,0.518
0.096,60qadrHOmLoafmRjgRw3BS,"0YbodxZ8dsnWW002EWS51w,4dHGNdVhBxCJUyMk9dR727",0.73,1,288880,0.398,5aFD0QPy4BQqUq39l0o5HD,0.0458,11,0.0933,-13.638,0,Forget You,The Sound of Everything,49,https://p.scdn.co/mp3-preview/11f542b9e45faaca1b328777cde2f81df49179ee?cid=774b29d4f13844c495f206cafdad9c86,0.0465,121.944,4,2,spotify:track:5aFD0QPy4BQqUq39l0o5HD,0.419
0.324,1TQtU1pMPnhKv3Nz23TGMI,05LK9pT8ScfWNT0UbDsyqe,0.52,1,260880,0.824,2pm72A1aBHKwqr05xaDW8h,4.76e-06,2,0.147,-4.286,1,It's Not Easy,The Sound of Everything,47,https://p.scdn.co/mp3-preview/7b784d8b27c53f4e54260fdd032acaa117bf5db5?cid=774b29d4f13844c495f206cafdad9c86,0.0462,79.39,4,12,spotify:track:2pm72A1aBHKwqr05xaDW8h,0.517
0.442,2sU8ByeYc5BOBFNDr58CGV,687cZJR45JO7jhk1LHIbgq,0.562,1,247579,0.463,2mzM4Y0Rnx2BDZqRnhQ5Q6,0.000145,6,0.157,-7.478,1,Free Mind,The Sound of Everything,55,https://p.scdn.co/mp3-preview/6985e46a93d7b80d0586c38d37a897bd8a8070ba?cid=774b29d4f13844c495f206cafdad9c86,0.0787,125.15,5,3,spotify:track:2mzM4Y0Rnx2BDZqRnhQ5Q6,0.416
0.801,1y0HOBgUhlZBDKULhePANq,2MhYuOM0iHfOwQ0HeLa0no,0.581,1,258054,0.781,4sZgCbDhoHocPQhfmLPq0v,0.00172,9,0.108,-7.097,1,Empini - Edit,The Sound of Everything,44,https://p.scdn.co/mp3-preview/2d6fc9b1d1b9270a2f01ecd0b47cb4450f45ceec?cid=774b29d4f13844c495f206cafdad9c86,0.0542,185.959,4,2,spotify:track:4sZgCbDhoHocPQhfmLPq0v,0.621
0.783,5fsxyiT2Bph4JgpbHZEXNO,25VtNcRJmgxCyaAiHWtn4X,0.554,1,317261,0.0543,2LkEJcJwrhuPqZ8ZvEsjjG,0.0,0,0.0984,-16.0,1,Rezos a Yemayá,The Sound of Everything,17,https://p.scdn.co/mp3-preview/1fdf956bd252124511b9069e11aa56ef0c805a13?cid=774b29d4f13844c495f206cafdad9c86,0.258,86.126,4,3,spotify:track:2LkEJcJwrhuPqZ8ZvEsjjG,0.367
